,items,deal_types,img_links
76,Ring Video Doorbell Pro,30% off,"https://m.media-amazon.com/images/I/31tiyoAN8bL._AC_UF226,226_FMjpg_.jpg"
77,JBL Clip4 Portable Bluetooth Speakers,25% off,"https://m.media-amazon.com/images/I/41T9E+T6-qL._AC_UF226,226_FMjpg_.jpg"
78,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",Up to 25% off,"https://m.media-amazon.com/images/I/41e4Qwo-opL._AC_UF226,226_FMjpg_.jpg"
79,Canon Cameras,Up to 17% off,"https://m.media-amazon.com/images/I/41LLTMKuflL._AC_UF226,226_FMjpg_.jpg"
80,Vitamix Mother's Day Blender Promotion,Up to 31% off,"https://m.media-amazon.com/images/I/41-qTKXNe-L._AC_UF226,226_FMjpg_.jpg"
81,"Seventh Generation Detergent, Cleaners, Wipes and More",Up to 21% off,"https://m.media-amazon.com/images/I/51xT9HJU7wL._AC_UF226,226_FMjpg_.jpg"
82,Graco Turn2Me Car Seats,20% off,"https://m.media-amazon.com/images/I/41t7YpF8RDL._AC_UF226,226_FMjpg_.jpg"
83,"Save on Safety 1st InstaPop Dome Play Yard, Compact Design Makes it Easy to pop Open and Closed, High Street and more",Up to 20% off,"https://m.media-amazon.com/images/I/41ANBE2AiML._AC_UF226,226_FMjpg_.jpg"
84,Certified Refurbished Fire TV Sticks,Up to 24% off,"https://m.media-amazon.com/images/I/31Jh6teontL._AC_UF226,226_FMjpg_.jpg"
85,"Tineco S11 Cordless Vacuum Cleaner, Smart Stick Handheld Vacuum for Multi-Surface Floor Cleaning",Up to 30% off,"https://m.media-amazon.com/images/I/313P02DEIRL._AC_UF226,226_FMjpg_.jpg"
86,Bose Soundlink Flex Speakers,13% off,"https://m.media-amazon.com/images/I/41F-Q7QK0-L._AC_UF226,226_FMjpg_.jpg"
87,Certified Refurbished Fire Tablets,Up to 47% off,"https://m.media-amazon.com/images/I/41dw1g4jtnS._AC_UF226,226_FMjpg_.jpg"
88,Instant Brands Air Fryers and Toaster Ovens,Up to 31% off,"https://m.media-amazon.com/images/I/41Bdtxm2NWL._AC_UF226,226_FMjpg_.jpg"
89,Amazon eero WiFi 6 and Pro 6 mesh routers and systems,Up to 20% off,"https://m.media-amazon.com/images/I/21emJuaIckL._AC_UF226,226_FMjpg_.jpg"
90,First Alert Fire Safety Products,Up to 46% off,"https://m.media-amazon.com/images/I/41SbuH+cdQL._AC_UF226,226_FMjpg_.jpg"
91,Arlo smart home security,Up to 50% off,"https://m.media-amazon.com/images/I/31AXrwt9QcL._AC_UF226,226_FMjpg_.jpg"
92,"Stock up on your favorites from Boudreaux's Butt Paste, TheraTears, and more",$14.99 and under,"https://m.media-amazon.com/images/I/41mUUgP6PfL._AC_UF226,226_FMjpg_.jpg"
93,Instant Brands Kitchen Appliances and more,Up to 33% off,"https://m.media-amazon.com/images/I/41nVHwuY7LL._AC_UF226,226_FMjpg_.jpg"
94,"Giraffe Tools Retractable Hose Reel Wall Mounted Garden Hose Reel Heavy Duty with Automatic Rewind 90ft and 130ft 180 Deg Swivel Bracket, Any Length Lock",Up to 31% off,"https://m.media-amazon.com/images/I/31ki0vqk1gL._AC_UF226,226_FMjpg_.jpg"
95,Baby Jogger Strollers and Car Seats,Up to 25% off,"https://m.media-amazon.com/images/I/41am0nCYUwS._AC_UF226,226_FMjpg_.jpg"
